,year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
263,2022,3,น่าน,378,1087,378,1087,0,0,2023-06-19 12:07:27
264,2022,3,สงขลา,522,1586,521,1581,5,13,2023-06-19 12:07:27
265,2022,3,สุโขทัย,137,305,137,303,0,1,2023-06-19 12:07:27
266,2022,3,พิษณุโลก,435,1320,435,1320,5,11,2023-06-19 12:07:27
267,2022,3,ชัยนาท,114,314,114,314,0,0,2023-06-19 12:07:27
268,2022,3,พิจิตร,77,274,77,274,0,0,2023-06-19 12:07:27
269,2022,3,จันทบุรี,470,1066,470,1064,2,4,2023-06-19 12:07:27
270,2022,3,พังงา,610,1412,581,1269,1,2,2023-06-19 12:07:27
271,2022,3,ชัยภูมิ,266,774,266,773,0,3,2023-06-19 12:07:27
272,2022,3,ไม่ระบุ,0,0,0,0,0,0,2023-06-19 12:07:27
273,2022,3,อุทัยธานี,77,318,77,318,1,3,2023-06-19 12:07:27
274,2022,3,กำแพงเพชร,215,563,213,560,0,2,2023-06-19 12:07:27
275,2022,3,นครราชสีมา,1065,2376,1065,2373,3,17,2023-06-19 12:07:27
276,2022,3,ชลบุรี,3670,14604,3530,13928,3,13,2023-06-19 12:07:27
277,2022,3,นครพนม,204,682,204,682,0,0,2023-06-19 12:07:27
278,2022,3,นครปฐม,826,1635,826,1635,0,2,2023-06-19 12:07:27
279,2022,3,ตราด,93,619,83,564,1,2,2023-06-19 12:07:27
280,2022,3,เลย,514,920,513,919,0,3,2023-06-19 12:07:27
281,2022,3,ราชบุรี,534,1039,533,1038,1,7,2023-06-19 12:07:27
282,2022,3,ระนอง,89,265,89,259,0,0,2023-06-19 12:07:27
283,2022,3,ขอนแก่น,2022,5367,2018,5353,3,7,2023-06-19 12:07:27
284,2022,3,ทั้งประเทศ,53406,146379,51992,141096,103,321,2023-06-19 12:07:27
285,2022,3,กรุงเทพมหานคร,7262,16294,7037,15526,14,34,2023-06-19 12:07:27
286,2022,3,สตูล,86,362,86,351,3,14,2023-06-19 12:07:27
287,2022,3,ตาก,216,720,214,715,4,8,2023-06-19 12:07:27
288,2022,3,มุกดาหาร,282,667,282,667,0,0,2023-06-19 12:07:27
289,2022,3,สระแก้ว,410,884,401,870,2,2,2023-06-19 12:07:27
290,2022,3,ชุมพร,438,1010,438,1010,1,1,2023-06-19 12:07:27
291,2022,3,ปทุมธานี,1690,3278,1686,3270,1,1,2023-06-19 12:07:27
292,2022,3,สมุทรปราการ,4643,11594,4612,11378,3,5,2023-06-19 12:07:27
293,2022,3,ตรัง,201,726,201,719,1,7,2023-06-19 12:07:27
294,2022,3,ปัตตานี,108,410,108,408,1,8,2023-06-19 12:07:27
295,2022,3,เชียงใหม่,1075,4010,1065,3960,3,17,2023-06-19 12:07:27
296,2022,3,สุรินทร์,660,1502,658,1485,0,0,2023-06-19 12:07:27
297,2022,3,อุดรธานี,630,2512,628,2500,5,5,2023-06-19 12:07:27
298,2022,3,ยะลา,118,339,118,339,1,8,2023-06-19 12:07:27
299,2022,3,เชียงราย,221,722,215,697,2,9,2023-06-19 12:07:27
300,2022,3,พัทลุง,573,1478,573,1478,2,4,2023-06-19 12:07:27
301,2022,3,หนองบัวลำภู,215,519,215,519,0,0,2023-06-19 12:07:27
302,2022,3,นนทบุรี,2477,5985,2473,5977,1,1,2023-06-19 12:07:27
303,2022,3,กาฬสินธุ์,331,1148,331,1146,2,2,2023-06-19 12:07:27
304,2022,3,พระนครศรีอยุธยา,691,1384,691,1384,0,2,2023-06-19 12:07:27
305,2022,3,ปราจีนบุรี,334,953,333,952,2,4,2023-06-19 12:07:27
306,2022,3,พะเยา,162,676,162,676,0,0,2023-06-19 12:07:27
307,2022,3,บึงกาฬ,105,380,105,378,0,1,2023-06-19 12:07:27
308,2022,3,อ่างทอง,100,254,100,254,0,1,2023-06-19 12:07:27
309,2022,3,หนองคาย,434,1075,434,1074,0,0,2023-06-19 12:07:27
310,2022,3,นครนายก,249,673,249,673,2,2,2023-06-19 12:07:27
311,2022,3,กาญจนบุรี,596,1237,596,1236,2,5,2023-06-19 12:07:27
312,2022,3,อุบลราชธานี,1325,6379,1320,6364,3,8,2023-06-19 12:07:27
313,2022,3,สกลนคร,375,917,375,915,0,0,2023-06-19 12:07:27
314,2022,3,กระบี่,402,1098,370,946,2,5,2023-06-19 12:07:27
315,2022,3,ยโสธร,145,603,145,602,0,0,2023-06-19 12:07:27
316,2022,4,ระนอง,97,362,97,356,2,2,2023-06-19 12:07:27
317,2022,4,บุรีรัมย์,687,3169,687,3164,1,7,2023-06-19 12:07:27
318,2022,4,สุราษฎร์ธานี,701,3142,672,2829,2,7,2023-06-19 12:07:27
319,2022,4,นครนายก,229,902,229,902,0,2,2023-06-19 12:07:27
320,2022,4,พระนครศรีอยุธยา,649,2033,649,2033,1,3,2023-06-19 12:07:27
321,2022,4,สิงห์บุรี,84,254,84,253,1,2,2023-06-19 12:07:27
322,2022,4,สมุทรสาคร,911,3054,911,3053,1,2,2023-06-19 12:07:27
323,2022,4,อุตรดิตถ์,51,334,51,333,0,2,2023-06-19 12:07:27
324,2022,4,เพชรบุรี,291,1054,290,1042,0,3,2023-06-19 12:07:27
325,2022,4,นครศรีธรรมราช,914,4432,914,4431,4,8,2023-06-19 12:07:27
326,2022,4,กาญจนบุรี,538,1775,538,1774,2,7,2023-06-19 12:07:27
327,2022,4,พิจิตร,191,465,191,465,0,0,2023-06-19 12:07:27
328,2022,4,ชุมพร,413,1423,413,1423,3,4,2023-06-19 12:07:27
329,2022,4,ระยอง,730,3540,729,3517,2,6,2023-06-19 12:07:27
330,2022,4,ศรีสะเกษ,942,2886,941,2881,2,7,2023-06-19 12:07:27
331,2022,4,เชียงราย,176,898,176,873,2,11,2023-06-19 12:07:27
332,2022,4,สมุทรปราการ,4696,16290,4666,16044,5,10,2023-06-19 12:07:27
